"","zcta","zipp","City","County","Operational.Costs","Admin.Costs","Food.Costs","SFSP.Kitchens","Meals.Served","Media","Activity","Site.Density","Benefits","Poverty","Grocery","Convenience.Store","Public.Transport","Total.Meals","Total.ADP","Findings","Year.Round"
"455",75783,75783,"Quitman","Wood","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","Low","No",NA,12.4092171717172,1,NA
"457",75785,75785,"Rusk","Cherokee","Low","Low","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"Low",0.85,NA,3
"460",75789,75789,"Troup","Smith","Med","High","Low","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",1.625,NA,NA
"461",75790,75790,"Van","Van Zandt","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"463",75792,75792,"Winona","Smith","Med","High","Low","No","Lunch Plus","Low","None","Low","No","Med","No","None",NA,"Low",0,NA,NA
"464",75801,75801,"Palestine","Anderson","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,49.7503787878788,NA,7
"466",75803,75803,"Palestine","Anderson","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","No","Low",NA,NA,0,NA,NA
"469",75831,75831,"Buffalo","Leon","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low","No",NA,0,NA,NA
"472",75835,75835,"Crockett","Houston","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,34.5277777777778,NA,2
"474",75839,75839,"Elkhart","Anderson","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"475",75840,75840,"Fairfield","Freestone","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","High","No",NA,0,NA,NA
"476",75844,75844,"Grapeland","Houston","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"477",75845,75845,"Groveton","Trinity","Low",NA,"Med","No","Lunch","Low","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"480",75847,75847,"Kennard","Houston","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","Low","No",NA,0,NA,NA
"487",75855,75855,"Oakwood","Leon","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low","No",NA,0,NA,NA
"491",75860,75860,"Teague","Freestone","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","No","Low","No",NA,0,NA,NA
"495",75862,75862,"Trinity","Trinity","Low",NA,"Med","No","Lunch Plus","Low","None","Low","No","High","No","High",NA,"High",0,NA,NA
"496",75901,75901,"Lufkin","Angelina","Med","High","Med","Yes","Lunch Plus","High","None","High","No","Med","Yes","High","No",NA,0,1,2
"497",75904,75904,"Lufkin","Angelina","Med","Low","High","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","High",0,1,2
"501",75925,75925,"Alto","Cherokee","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"High",37.4324324324324,NA,1
"503",75926,75926,"Apple Springs","Trinity","Low",NA,"Med","No","Lunch Plus","Low","High","Low","No","High","No","Low",NA,"Low",0,NA,NA
"505",75929,75929,"Broaddus","San Augustine","Med","Med","Med","No","Lunch","High","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"508",75932,75932,"Burkeville","Newton",NA,"Med","Med","No","Lunch","Low","None","Low","Yes","Low","No","Low","No","Low",0,NA,NA
"511",75935,75935,"Center","Shelby","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","High","No","Low",0,NA,NA
"513",75937,75937,"Chireno","Nacogdoches","High","Med","Med","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,NA
"514",75938,75938,"Colmesneil","Tyler","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"515",75939,75939,"Corrigan","Polk","Med","Med","High","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"516",75941,75941,"Diboll","Angelina","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"519",75944,75944,"Etoile","Nacogdoches","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"520",75946,75946,"Garrison","Nacogdoches","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"521",75948,75948,"Hemphill","Sabine","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","High","No","Low",NA,NA,0,1,NA
"522",75949,75949,"Huntington","Angelina","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"523",75951,75951,"Jasper","Jasper","High","Med","Med","Yes","Lunch Plus","High","None","High","No","Med","No","High","No",NA,0,NA,NA
"524",75954,75954,"Joaquin","Shelby","Low","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"525",75956,75956,"Kirbyville","Jasper","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","High","No","High",0,NA,NA
"528",75961,75961,"Nacogdoches","Nacogdoches","High","Med","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,1
"531",75964,75964,"Nacogdoches","Nacogdoches","High","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,1
"534",75966,75966,"Newton","Newton",NA,"Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"High",0,NA,NA
"535",75968,75968,"Pineland","Sabine","Low",NA,NA,"No","Lunch","High","None","Low","No","High","No","Low","No",NA,0,NA,NA
"536",75969,75969,"Pollok","Angelina","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","None",NA,"Low",0,NA,1
"537",75972,75972,"San Augustine","San Augustine","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,"High",75.3157894736842,NA,NA
"538",75973,75973,"Shelbyville","Shelby","Low","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"539",75974,75974,"Tenaha","Shelby","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"High",0,NA,NA
"540",75975,75975,"Timpson","Shelby","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"541",75976,75976,"Wells","Cherokee","Low","Low","Med","No","No Meals","Low","None","None","Yes","High","No","Low",NA,"Low",0,NA,NA
"543",75978,75978,"Woden","Nacogdoches","High","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","None",NA,"Low",0,NA,NA
"544",75979,75979,"Woodville","Tyler","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"546",75980,75980,"Zavalla","Angelina","Med","Med","Med","No","No Meals","Low","None","None","Yes","High","No","Low",NA,"Low",0,NA,NA
"547",76001,76001,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",16.5081967213115,NA,2
"548",76002,76002,"Arlington","Tarrant","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","No","High","No","High",0,NA,NA
"549",76006,76006,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","High","No","High","No","Low",0,NA,4
"551",76009,76009,"Alvarado","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"Low",0,NA,NA
"552",76010,76010,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",70.2469628086649,NA,19
"555",76011,76011,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","High","Yes","High",NA,"Low",0,NA,10
"556",76012,76012,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,2
"557",76013,76013,"Arlington","Tarrant","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,55.9508771929825,1,5
"560",76014,76014,"Arlington","Tarrant","Low","Med","Low","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","High",33.0655737704918,NA,8
"561",76015,76015,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,2
"565",76018,76018,"Arlington","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Low","Yes","High","No","Low",30.1025641025641,NA,8
"567",76020,76020,"Azle","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"571",76022,76022,"Bedford","Tarrant","Med","High","Med","No","No Meals","Low","None","None","No","Med","No","High","No","Low",0,NA,1
"572",76023,76023,"Boyd","Wise","Med","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"575",76031,76031,"Cleburne","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,3
"576",76033,76033,"Cleburne","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","High",0,NA,7
"579",76036,76036,"Crowley","Tarrant","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,1,NA
"580",76039,76039,"Euless","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"581",76040,76040,"Euless","Tarrant",NA,"High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,5
"585",76044,76044,"Godley","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"586",76048,76048,"Granbury","Hood","Low",NA,NA,"No","Lunch Plus","Low","High","Low","No","Med","Yes","High","No",NA,0,NA,NA
"593",76053,76053,"Hurst","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"595",76055,76055,"Itasca","Hill",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"596",76058,76058,"Joshua","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"Low",0,NA,NA
"597",76059,76059,"Keene","Johnson","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low","No","Low",0,NA,NA
"604",76067,76067,"Mineral Wells","Palo Pinto","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,NA
"611",76082,76082,"Springtown","Parker","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High","No",NA,0,NA,NA
"612",76084,76084,"Venus","Johnson","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Low","No","Low",NA,"High",0,NA,NA
"624",76102,76102,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","High","No","Low","No","Low",20.56,NA,6
"632",76103,76103,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,5
"633",76104,76104,"Fort Worth","Tarrant","Med","High","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,11
"634",76105,76105,"Fort Worth","Tarrant","High","High","High","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No",NA,0,3,8
"635",76106,76106,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","Yes","Low","No","High","No","Low",0,NA,4
"637",76107,76107,"Fort Worth","Tarrant","Med","Med","Low","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,0,NA,3
"639",76108,76108,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","High","Low","No","Med","Yes","High","No","Low",0,NA,2
"643",76110,76110,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No","Low",0,NA,6
"644",76111,76111,"Fort Worth","Tarrant","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","High",0,NA,3
"646",76112,76112,"Fort Worth","Tarrant","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,2,7
"647",76114,76114,"Fort Worth","Tarrant","Med","Med","High","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","High",0,NA,2
"649",76115,76115,"Fort Worth","Tarrant","Med","High","Low","No","Lunch Plus","Low","High","High","Yes","Med","No","High","No",NA,0,1,5
"651",76116,76116,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,7
"652",76117,76117,"Haltom City","Tarrant","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,1,8
"653",76118,76118,"Fort Worth","Tarrant","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","Low","No",NA,0,NA,1
"654",76119,76119,"Fort Worth","Tarrant","Med","Med","Med","No","Lunch Plus","Low","High","High","No","Med","No","High","No",NA,57.26,NA,7
"655",76120,76120,"Fort Worth","Tarrant","Med","High","Med","Yes","Lunch Plus","Low","High","High","No","Med","Yes","High","No","Low",0,NA,2
"656",76123,76123,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,1
"661",76132,76132,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,2
"664",76133,76133,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,9
"665",76134,76134,"Fort Worth","Tarrant","Med","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,1
"666",76135,76135,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,1
"668",76140,76140,"Fort Worth","Tarrant","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,1
"669",76148,76148,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,2
"671",76164,76164,"Fort Worth","Tarrant","Med","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,3
"680",76201,76201,"Denton","Denton","Med","Med","Low","Yes","Lunch Plus","Low","None","High","Yes","High","Yes","High","No",NA,0,NA,1
"684",76205,76205,"Denton","Denton","High","High","Med","No","Lunch Plus","Low","None","High","Yes","High","Yes","High","No","Low",0,NA,2
"685",76207,76207,"Denton","Denton","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"687",76209,76209,"Denton","Denton","High","High","Med","No","Lunch","Low","None","Low","No","Med","No","High","No","Low",0,NA,NA
"692",76228,76228,"Bellevue","Clay","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","None",NA,NA,0,NA,NA
"693",76230,76230,"Bowie","Montague","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","Yes","High",NA,NA,0,NA,NA
"694",76233,76233,"Collinsville","Grayson","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"695",76234,76267,"Slidell","Wise","Med","Low","Med","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"699",76239,76239,"Forestburg","Montague","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","None",NA,NA,0,NA,NA
"700",76240,76240,"Gainesville","Cooke","Low","Med","Low","Yes","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","High",0,NA,NA
"711",76255,76255,"Nocona","Montague","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,NA,0,NA,NA
"712",76258,76258,"Pilot Point","Denton","Low","Med","High","No","Lunch Plus","High","None","Low","No","Med","No","Low","No","High",0,1,NA
"720",76268,76268,"Southmayd","Grayson","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"724",76273,76273,"Whitesboro","Grayson","High","Med","Med","Yes","Lunch Plus","Low","High","Low","No","Med","No","Low",NA,NA,0,NA,NA
"725",76301,76301,"Wichita Falls","Wichita","Med","High","Med","Yes","Lunch Plus","High","Low","Low","No","High","No","High","No",NA,0,3,5
"726",76301,76307,"Wichita Falls","Wichita","Med","Med","Med","Yes","No Meals","Low","None","None","No","High","No","None","No","Low",0,3,NA
"727",76302,76302,"Wichita Falls","Wichita","Med","Med","Low","No","Lunch","Low","None","Low","No","Med","No","High","No",NA,0,NA,2
"728",76305,76305,"Wichita Falls","Wichita","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"729",76306,76306,"Wichita Falls","Wichita","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,1
"735",76354,76354,"Burkburnett","Wichita","Med","Med","Med","Yes","Lunch Plus","High","High","Low","No","Med","Yes","Low",NA,"High",0,1,NA
"737",76360,76360,"Electra","Wichita","Low","Low","Med","No","No Meals","High","None","None","No","Med","No","Low","No","High",0,NA,NA
"740",76364,76364,"Harrold","Wilbarger","Med","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","Low",NA,"Low",0,NA,NA
"746",76371,76371,"Munday","Knox","Low","Med","Med","Yes","Lunch Plus","High","Low","Low","No","Med","No","Low",NA,"High",0,NA,NA
"747",76372,76372,"Newcastle","Young","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","Low",NA,NA,0,NA,NA
"749",76374,76374,"Olney","Young","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"752",76380,76380,"Seymour","Baylor","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"753",76384,76384,"Vernon","Wilbarger","Med","Med","Med","Yes","No Meals","Low","High","None","No","Med","Yes","High",NA,"High",0,NA,NA
"757",76401,76401,"Stephenville","Erath","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","High","No","High",0,1,2
"759",76424,76424,"Breckenridge","Stephens","Low",NA,NA,"No","Lunch Plus","High","High","Low","No","Med","No","High",NA,NA,0,NA,NA
"760",76426,76426,"Bridgeport","Wise","Med","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"764",76431,76431,"Chico","Wise","Med","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"765",76432,76432,"Blanket","Brown","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"771",76437,76437,"Cisco","Eastland","Low","Low","Med","No","Lunch","Low","None","Low","Yes","High","No","Low","No","Low",0,NA,NA
"772",76442,76442,"Comanche","Comanche","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"773",76443,76443,"Cross Plains","Callahan","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","Yes","Low",NA,NA,0,NA,NA
"774",76444,76444,"De Leon","Comanche","Low",NA,NA,"No","No Meals","High","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"775",76445,76445,"Desdemona","Eastland","Low","Low","Med","No","No Meals","Low","None","None","No","High","No","None",NA,"Low",0,NA,NA
"776",76446,76446,"Dublin","Erath","Med","Low","High","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"High",0,1,NA
"778",76446,76461,"Lingleville","Erath","Med","Low","High","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"779",76448,76448,"Eastland","Eastland","Low","Low","Med","No","No Meals","Low","None","None","Yes","High","No","High",NA,"Low",0,NA,NA
"780",76449,76449,"Graford","Palo Pinto","Low",NA,NA,"No","Lunch","Low","None","Low","No","Low","No","Low",NA,NA,0,NA,NA
"781",76450,76450,"Graham","Young","Low",NA,NA,"No","Lunch Plus","High","Low","Low","No","Med","No","High",NA,NA,0,NA,NA
"784",76454,76454,"Gorman","Eastland","Low","Low","Med","No","No Meals","Low","None","None","Yes","Med","No","Low",NA,"Low",0,NA,NA
"786",76457,76457,"Hico","Hamilton","Low",NA,NA,"No","No Meals","Low","None","None","Yes","Med","Yes","Low",NA,NA,0,NA,NA
"787",76458,76458,"Jacksboro","Jack","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"790",76462,76462,"Lipan","Hood","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","No","Low","No",NA,0,NA,NA
"792",76464,76464,"Moran","Shackelford","Med","Med","Med","No","No Meals","Low","None","None","Yes","Med","No","None",NA,"Low",0,NA,NA
"795",76470,76470,"Ranger","Eastland","Low","Low","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Med",0,1,NA
"796",76471,76471,"Rising Star","Eastland","Low","Low","Med","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,NA
"798",76474,76474,"Sidney","Comanche","Low",NA,NA,"No","No Meals","Low","None","None",NA,"Med","No","None",NA,NA,0,NA,NA
"799",76475,76475,"Strawn","Palo Pinto","Low",NA,NA,"No","No Meals","High","High","None","Yes","High","No","Low",NA,NA,0,NA,NA
"803",76484,76484,"Palo Pinto","Palo Pinto","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low","No",NA,0,NA,NA
"805",76487,76487,"Poolville","Parker","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"807",76491,76491,"Woodson","Throckmorton","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"811",76501,76501,"Temple","Bell","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,5
"812",76502,76502,"Temple","Bell","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"813",76504,76504,"Temple","Bell","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,3,2
"815",76511,76511,"Bartlett","Bell","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","High","No","Low",NA,"Low",0,NA,NA
"816",76513,76513,"Belton","Bell","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"817",76518,76518,"Buckholts","Milam","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"819",76520,76520,"Cameron","Milam","Low","Low","Med","No","Lunch Plus","High","Low","Low","No","Med","No","High","No","High",0,1,NA
"820",76522,76522,"Copperas Cove","Coryell","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,NA
"822",76524,76524,"Eddy","Mclennan","High","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"823",76525,76525,"Evant","Coryell","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"824",76527,76527,"Florence","Williamson","Med","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"Low",0,1,NA
"825",76528,76528,"Gatesville","Coryell","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"828",76530,76530,"Granger","Williamson","Med","Med","Med","No","Lunch","Low","None","Low","No","Low","No","Low",NA,"Low",0,NA,NA
"829",76531,76531,"Hamilton","Hamilton","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"831",76537,76537,"Jarrell","Williamson","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"832",76538,76538,"Jonesboro","Coryell","Low",NA,NA,"No","No Meals","Low","None","None",NA,NA,"No","None",NA,NA,0,NA,NA
"836",76541,76541,"Killeen","Bell","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,3
"837",76542,76542,"Killeen","Bell","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,12
"838",76543,76543,"Killeen","Bell","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,0,NA,9
"839",76544,76544,"Killeen","Bell","Med","Med",NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low","No","High",0,1,7
"841",76549,76549,"Killeen","Bell","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","High",0,NA,6
"842",76550,76550,"Lampasas","Lampasas","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"844",76556,76556,"Milano","Milam","Low","Low","Med","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,NA
"845",76557,76557,"Moody","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"846",76559,76559,"Nolanville","Bell","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,3
"847",76561,76561,"Oglesby","Coryell","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","None",NA,NA,0,NA,NA
"850",76567,76567,"Rockdale","Milam","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"852",76570,76570,"Rosebud","Falls","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"855",76574,76574,"Taylor","Williamson","Low","Med","Low","No","Lunch Plus","High","High","High","No","Med","No","High","No","High",0,NA,NA
"859",76579,76579,"Troy","Bell","High","High","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"865",76622,76622,"Aquilla","Hill",NA,"Med","Low","No","Lunch","Low","None","Low","No","Low","No","None",NA,"Low",0,NA,NA
"866",76623,76623,"Avalon","Ellis","Low","Low","Med","Yes","Lunch","Low","None","Low",NA,NA,"No","None",NA,"Med",0,NA,NA
"867",76624,76624,"Axtell","Mclennan","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"868",76626,76626,"Blooming Grove","Navarro","Med","Med","Med","No","No Meals","Low","None","None","Yes","Med","No","Low",NA,"Low",0,NA,NA
"869",76627,76627,"Blum","Hill",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"873",76631,76631,"Bynum","Hill",NA,"Med","Low","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"874",76632,76632,"Chilton","Falls","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","None","No",NA,0,NA,NA
"877",76634,76634,"Clifton","Bosque","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","Low","No",NA,0,NA,NA
"878",76635,76635,"Coolidge","Limestone","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"879",76636,76636,"Covington","Hill",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"880",76637,76637,"Cranfills Gap","Bosque","Low",NA,NA,"No","No Meals","Low","None","None","Yes","High","No","Low",NA,NA,0,NA,NA
"882",76639,76639,"Dawson","Navarro","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"883",76640,76640,"Elm Mott","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","No","Low","No","Low",0,NA,NA
